"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.683526500E0,1.852197647E-1,2.079069138E1,-2.892185974E1
3.693465500E0,1.870684624E-1,2.085652161E1,-2.870194626E1
3.703404500E0,2.960119247E-1,2.105286026E1,-2.872026443E1
3.713343500E0,1.392416954E-1,2.118113708E1,-2.877967834E1
3.723282500E0,5.832767487E-2,2.117929840E1,-2.867360687E1
3.733221500E0,1.589441299E-1,2.099392319E1,-2.843951797E1
3.743160500E0,1.779637337E-1,2.108840942E1,-2.866723251E1
3.753099500E0,1.281309128E-1,2.102107239E1,-2.873206711E1
3.763038500E0,1.281309128E-1,2.102107239E1,-2.873206711E1
3.772977500E0,1.195588112E-1,2.103532410E1,-2.870953751E1
3.782916500E0,1.481423378E-1,2.103963089E1,-2.876573181E1
3.792855500E0,-5.060672760E-3,2.108899689E1,-2.877931213E1
3.802794500E0,-7.597923279E-3,2.109377670E1,-2.854549026E1
3.812733500E0,7.161760330E-2,2.117034912E1,-2.864520645E1
3.822672500E0,-1.292433739E-1,2.122398376E1,-2.857501221E1
3.832611500E0,-6.941270828E-2,2.109170914E1,-2.853326797E1
3.842551000E0,-2.264928818E-2,2.119427872E1,-2.838278961E1
3.852490000E0,-1.026716232E-1,2.120190048E1,-2.876107788E1
3.862429000E0,-6.361865997E-2,2.132149506E1,-2.868819046E1
3.872367000E0,-1.248331070E-1,2.128115082E1,-2.849356842E1
3.882306000E0,-2.504982948E-1,2.123122025E1,-2.877037048E1
3.892245000E0,-3.310632706E-1,2.111576462E1,-2.847875977E1
3.902184000E0,-2.807898521E-1,2.130348587E1,-2.862569809E1
3.912123000E0,-3.945374489E-1,2.115590286E1,-2.852964020E1
3.922062000E0,-3.737502098E-1,2.117670059E1,-2.882550049E1
3.932001000E0,-4.197721481E-1,2.109922028E1,-2.873085785E1
3.941940000E0,-3.866081238E-1,2.100687027E1,-2.877672195E1
3.951879000E0,-3.583941460E-1,2.093113708E1,-2.871570969E1
3.961818000E0,-4.445691109E-1,2.079446411E1,-2.875044632E1
3.971757000E0,-4.963417053E-1,2.105900955E1,-2.861218262E1
3.981696000E0,-4.875855446E-1,2.104426575E1,-2.874682999E1
3.991635000E0,-6.115987301E-1,2.090425110E1,-2.869624329E1
4.001574000E0,-5.298745632E-1,2.093203735E1,-2.891061020E1
4.011513000E0,-5.901551247E-1,2.073365402E1,-2.880673599E1
