"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.942584500E0,3.727249146E-1,-1.484912109E-1,1.014694931E1,1.015487833E1
2.952523500E0,4.427792358E-1,-1.790277100E-1,9.937385101E0,9.948855564E0
2.962462500E0,5.948629761E-1,-2.552192688E-1,9.676028595E0,9.697655810E0
2.972401500E0,7.114704895E-1,-3.237767029E-1,9.545350342E0,9.577303105E0
2.982341500E0,7.934999084E-1,-3.501219177E-1,9.533824310E0,9.573193482E0
2.992280500E0,7.942483521E-1,-3.046165466E-1,9.626930695E0,9.664440816E0
3.002219500E0,6.551875305E-1,-2.134561157E-1,9.771679688E0,9.795946005E0
3.012158500E0,4.842430115E-1,-7.319778442E-2,9.922416229E0,9.934495107E0
3.022097500E0,2.830613708E-1,3.293151855E-2,1.006641678E1,1.007044959E1
3.032037500E0,5.119354248E-2,1.678010559E-1,1.002704865E1,1.002858327E1
3.041976500E0,-5.194198608E-2,2.619552612E-1,9.941576385E0,9.945162621E0
3.051915500E0,-5.942642212E-2,3.453318787E-1,9.834099884E0,9.840340753E0
3.061854500E0,-8.113128662E-2,4.019142151E-1,9.765991516E0,9.774595010E0
3.071793500E0,-1.089733887E-1,4.096980286E-1,9.765542450E0,9.774740253E0
3.081733500E0,-7.738906860E-2,4.336482239E-1,9.846823425E0,9.856671417E0
3.091672500E0,-2.439926147E-2,4.923262024E-1,9.881102142E0,9.893389710E0
3.101611500E0,4.715194702E-2,5.001100159E-1,9.905800781E0,9.918529248E0
3.111550500E0,1.914518738E-1,4.763095093E-1,9.921667786E0,9.934939165E0
3.121489500E0,3.444337463E-1,4.558021545E-1,9.915829926E0,9.932274328E0
3.131429500E0,4.489164734E-1,4.694238281E-1,9.961185608E0,9.982339578E0
